# scripturl01 :: http://climexp.knmi.nl/getindices.cgi?NPERYEAR=366&STATION=precipitationdeficit&TYPE=i&WMO=KNMIData/nt_nl&id=someone@somewhere
# Precipitation_deficit [mm] cumulative potential evaporation minus precipitation in the Netherlands
# starts 1 April, set to zero when negative, ends 30 September (available for the Dutch growing season).
# institution :: KNMI
# contact :: jules.beersma@knmi.nl
# source :: https://www.knmi.nl/nederland-nu/klimatologie/geografische-overzichten/neerslagtekort_droogte
#
# Dagelijks neerslagtekort NL (1 apr t/m 30 sep) vanaf 1906 t/m het lopende groeiseizoen
#  t/m  2000 op basis van P13 en Makkink verdamping De Bilt geschat uit zonneschijnduur
# vanaf 2001 op basis van P13 (incl correcties T. Brandsma voor De Kooy en Hoorn in de periode 2012-2017) en EV24-13
# (c) KNMI, 2024, Jules Beersma
19060401	0.4												
19060402	2.9												
19060403	5.7												
19060404	8.4												
19060405	10.9												
19060406	13.5												
19060407	16.3												
19060408	19												
19060409	21.7												
19060410	24.8												
19060411	27.9												
19060412	30.9												
19060413	33.2												
19060414	33.9												
19060415	37												
19060416	40.1												
19060417	43.3												
19060418	44												
19060419	35.3												
19060420	36.4												
19060421	38.4												
19060422	39												
19060423	40.4												
19060424	41												
19060425	41												
19060426	41.9												
19060427	42.4												
19060428	42.4												
19060429	40												
19060430	41.3												
19060501	39.1												
19060502	35.9												
19060503	35.6												
19060504	31.8												
19060505	35.3												
19060506	39.2												
19060507	43.3												
19060508	47.6												
19060509	51.4												
19060510	49.6												
19060511	47.6												
19060512	51.8												
19060513	53.8												
19060514	49.4												
19060515	41												
19060516	38.6												
19060517	38.8												
19060518	37.1												
19060519	34.2												
19060520	34.5												
19060521	23												
19060522	24.1												
19060523	27.3												
19060524	29												
19060525	23.1												
19060526	24.9												
19060527	20.6												
19060528	21.6												
19060529	23.9												
19060530	25.5												
19060531	25.7												
19060601	27.1												
19060602	22.5												
19060603	23.5												
19060604	23.3												
19060605	26												
19060606	30.2												
19060607	34.7												
19060608	39.1												
19060609	42.9												
19060610	44.4												
19060611	47.6												
19060612	51.4												
19060613	52.8												
19060614	54.5												
19060615	54.4												
19060616	54.4												
19060617	57.2												
19060618	57.1												
19060619	58.5												
19060620	62.9												
19060621	65.9												
19060622	68.5												
19060623	65.1												
19060624	68.2												
19060625	69.5												
19060626	73.1												
19060627	77.9												
19060628	79.7												
19060629	74.7												
19060630	68.5												
19060701	71.1												
19060702	74.6												
19060703	76.5												
19060704	81.2												
19060705	79.7												
19060706	76.2												
19060707	79.9												
19060708	84.7												
19060709	89												
19060710	92.6												
19060711	93.2												
19060712	71.8												
19060713	64.9												
19060714	66.4												
19060715	68.4												
19060716	68.3												
19060717	69												
19060718	73.3												
19060719	74.7												
19060720	71.9												
19060721	73.4												
19060722	74.3												
19060723	76.2												
19060724	77.3												
19060725	80.7												
19060726	85												
19060727	86.8												
19060728	89												
19060729	93.4												
19060730	97.4												
19060731	101.7												
19060801	104.5												
19060802	108.8												
19060803	109.7												
19060804	112.8												
19060805	115.3												
19060806	119.5												
19060807	123.3												
19060808	126.6												
19060809	126.9												
19060810	127.3												
19060811	125.3												
19060812	124.5												
19060813	127.1												
19060814	125.5												
19060815	119.3												
19060816	117.7												
19060817	111.1												
19060818	101.1												
19060819	97.4												
19060820	99.9												
19060821	100												
19060822	103.1												
19060823	106.3												
19060824	108.5												
19060825	106.6												
19060826	104.7												
19060827	105.5												
19060828	108.3												
19060829	111.8												
19060830	115.6												
19060831	119.5												
19060901	122.9												
19060902	126.5												
19060903	130.1												
19060904	133.3												
19060905	134												
19060906	133.9												
19060907	131.4												
19060908	133.6												
19060909	135.7												
19060910	137.5												
19060911	137.2												
19060912	139.6												
19060913	142												
19060914	142.5												
19060915	142.8												
19060916	135.9												
19060917	130												
19060918	125.2												
19060919	121.7												
19060920	121.2												
19060921	122.5												
19060922	124.2												
19060923	125.3												
19060924	127												
19060925	129												
19060926	130.8												
